gene,cell_type,log2fc,pval,padj
MAL,TRAM-3,2.590492193350954,0.43167012945831085,0.960451064784517
LINC00342,TRAM-3,1.807061491562071,0.2099747644387302,0.960451064784517
ANKRD36C,TRAM-3,1.6265590080425603,0.3326331587164296,0.960451064784517
DUSP2,TRAM-3,1.55137689967986,0.2704388521336093,0.960451064784517
AC021188.1,TRAM-3,1.9475325801058643,0.47409125532268626,0.960451064784517
ITPRIPL1,TRAM-3,2.908416449839479,0.313108090288841,0.960451064784517
SEMA4C,TRAM-3,-0.09871805094989222,0.7119724279481077,0.960451064784517
ZAP70,TRAM-3,1.4363480055242561,0.742914096271456,0.960451064784517
AFF3,TRAM-3,3.1338557467347905,0.28511807229873376,0.960451064784517
CHST10,TRAM-3,0.11522554798346867,0.542122031447726,0.960451064784517
IL1R2,TRAM-3,-1.248004287253086,0.7510785136727482,0.960451064784517
IL1R1,TRAM-3,-0.035361942891478045,0.8049283782203555,0.960451064784517
IL18R1,TRAM-3,-1.3770814538001142,0.27774266658953994,0.960451064784517
IL18RAP,TRAM-3,-1.8845227825800641,0.2562047543137844,0.960451064784517
AC007278.1,TRAM-3,0.5618788876081148,0.7938709848985264,0.960451064784517
NCK2,TRAM-3,1.9540873166920485,0.21696940261385522,0.960451064784517
ECRG4,TRAM-3,1.078002512001273,0.7113500786141914,0.960451064784517
CD8B2,TRAM-3,1.3714482307311608,0.5898244395060338,0.960451064784517
AC017002.3,TRAM-3,-0.8183260398786073,0.5004808876849198,0.960451064784517
MERTK,TRAM-3,-3.0132530331708995,0.5534512895720363,0.960451064784517
FBLN7,TRAM-3,2.526545814495834,0.3603979022163062,0.960451064784517
AC092645.2,TRAM-3,0.01895815770388447,0.7296697828749116,0.960451064784517
IL1B,TRAM-3,2.6175417956139375,0.15000000000000002,0.960451064784517
IL1RN,TRAM-3,2.5457895579247816,0.09094501459029478,0.960451064784517
AC013457.1,TRAM-3,1.971342329709329,0.9092650965797306,0.9730863032642807
PTPN4,TRAM-3,1.6561189940992616,0.2961530794753833,0.960451064784517
BIN1,TRAM-3,1.1660094126678595,0.6484926333692076,0.960451064784517
CCDC74A,TRAM-3,3.1851114052569884,0.2714655173143583,0.960451064784517
CXCR4,TRAM-3,0.49546425895135554,0.9092680581039282,0.9730863032642807
ARHGAP15,TRAM-3,2.2184280905163036,0.2314475441564363,0.960451064784517
ZEB2,TRAM-3,1.3732375426090806,0.46538461538461534,0.960451064784517
KIF5C,TRAM-3,1.7574296967259218,0.5650370881990114,0.960451064784517
RND3,TRAM-3,1.7060613714797053,0.6622105637694577,0.960451064784517
TNFAIP6,TRAM-3,0.4259766216985569,0.9695306508925162,0.9907015071609087
NR4A2,TRAM-3,0.8779440431764407,0.894222861323313,0.9730863032642807
CYTIP,TRAM-3,1.4300212131593166,0.35201486996915743,0.960451064784517
ACVR1C,TRAM-3,3.3955851366126715,0.2852777057581426,0.960451064784517
SLC4A10,TRAM-3,1.078002512001273,0.6771158415224914,0.960451064784517
